ID,elevation,canton,municipality,Latitude,Longitude,Done,Author,Date,Priority,kontakt,commentar
MP1-BE-BE-1,808,BE,Beatenberg,46.69095835,7.794858959,1,MB,30.05.23,MP1,,
MP1-BE-BE-2,1029,BE,Beatenberg,46.68853541,7.78407609,1,MB,31.05.23,MP1,,
MP1-BE-BE-3,1101,BE,Beatenberg,46.69463275,7.791813249,1,MB,30.05.23,MP1,,
MP1-BE-BE-4,1146,BE,Beatenberg,46.70304804,7.828294612,1,MB,31.05.23,MP1,,
MP1-BE-BE-5,1239,BE,Beatenberg,46.69419847,7.758288901,1,MB,31.05.23,MP1,,
MP1-BE-BE-6,1240,BE,Beatenberg,46.69298856,7.771888608,1,MB,30.05.23,MP1,,
MP1-GL-MA-1,856,GL,Matt,46.96872378,9.161482126,1,MBMS,24.05.23,MP1,,
MP1-GL-MA-2,962,GL,Matt,46.95409694,9.176781005,1,MBMS,24.05.23,MP1,,
MP1-GR-BO-1,878,GR,Bonaduz,46.7957191,9.347234255,1,MB,17.05.23,MP1,,
MP1-GR-BO-2,898,GR,Bonaduz,46.79295557,9.351066772,1,MB,17.05.23,MP1,,
MP1-GR-RH-1,653,GR,Rhaezuens,46.78188641,9.408955005,1,MB,17.05.23,MP1,,
MP1-LU-GR-1,503,LU,Greppen,47.05589719,8.434255168,1,MBMS,11.05.23,MP1,,
MP1-LU-GR-2,537,LU,Greppen,47.05506667,8.436274989,1,MBMS,11.05.23,MP1,,
MP1-LU-GR-3,666,LU,Greppen,47.05928195,8.442580845,1,MB,26.05.23,MP1,,
MP1-LU-GR-4,827,LU,Greppen,47.05731184,8.445563702,1,MB,25.05.23,MP1,,
MP1-LU-GR-5,1009,LU,Greppen,47.05089214,8.448075517,1,MB,26.05.23,MP1,,
MP1-LU-WE-1,616,LU,Weggis,47.04923378,8.434837322,1,MB,25.05.23,MP1,,
MP1-NI-EN-1,507,NI,Ennetmoos,46.9575791,8.32856084,1,MBMS,15.05.23,MP1,,
MP1-NI-EN-2,518,NI,Ennetmoos,46.95299241,8.333253411,1,MBMS,15.05.23,MP1,,
MP1-NI-EN-3,583,NI,Ennetmoos,46.94333397,8.311269074,1,MBMS,15.05.23,MP1,,
MP1-NI-EN-4,688,NI,Ennetmoos,46.94907816,8.344471129,1,MB,22.05.23,MP1,,
MP1-NI-EN-5,788,NI,Ennetmoos,46.94666796,8.342051508,1,MB,22.05.23,MP1,,
MP2-BE-GR-11,1010,BE,Grindelwald,46.63253127,7.970781669,1,MB,06.06.23,MP2,"JA, negativ eingestellt",
MP2-BE-GR-13,1235,BE,Grindelwald,46.629626,7.966835624,1,MBMS,05.06.23,MP2,JA,
MP2-BE-GR-14,1270,BE,Grindelwald,46.62068025,7.994166093,1,MB,06.06.23,MP2,NEIN,nass
MP2-BE-GR-2,950,BE,Grindelwald,46.61742898,8.032384865,1,MBMS,06.06.23,MP2,JA,
MP2-BE-GR-20,1350,BE,Grindelwald,46.63773566,8.019547517,1,MBMS,06.06.23,MP2,JA,
MP2-BE-GR-24,1430,BE,Grindelwald,46.64530697,8.016624562,1,MB,07.06.23,MP2,"JA, sehr interessiert",
MP2-BE-GR-3,970,BE,Grindelwald,46.62102959,8.01440679,1,MBMS,06.06.23,MP2,JA,
MP2-BE-GR-5,980,BE,Grindelwald,46.61519509,8.029488291,1,MB,07.06.23,MP2,"JA, persönlich",
MP2-BE-GR-6,985,BE,Grindelwald,46.63304498,8.00421798,1,MB,08.06.23,MP2,JA,wird (anscheinend) bis Mitte Juli nicht gemaeht
MP2-BE-GR-8,990,BE,Grindelwald,46.62742941,8.011863349,1,MB,07.06.23,MP2,JA,
MP3-BE-GR-28,940,BE,Grindelwald,46.62386423,8.023054512,1,MB,08.06.23,MP3,"JA, negativ eingestellt, fast drohend",
MP4-NI-EN-6,636,NI,Ennetmoos,46.95335172,8.348138486,1,MB,22.05.23,MP4,,
P1-BE-GR-47,902,BE,Grindelwald,46.63414697,7.981075261,1,MBMS,05.06.23,P1,JA,Maisefeld
P1-BE-GR-49,1000,BE,Grindelwald,46.63954956,7.97999316,1,MBMS,05.06.23,P1,JA,steil
P1-BE-GR-50,1070,BE,Grindelwald,46.63602119,8.002681919,1,MBMS,05.06.23,P1,JA,frisch geweidet und gemistet
MP2-BE-GR-1,950,BE,Grindelwald,46.63272734,7.976921324,0,MB,06.06.23,MP2,JA,zerstört wegen Bauarbeiten
MP2-BE-GR-10,1010,BE,Grindelwald,46.62336791,8.032058339,0,MB,06.06.23,MP2,JA,frisch gemäht
MP2-BE-GR-4,980,BE,Grindelwald,46.61582069,8.030278421,0,MB,07.06.23,MP2,"JA, persönlich",frisch gemäht
MP2-BE-GR-7,990,BE,Grindelwald,46.62666213,8.021256675,0,MB,07.06.23,MP2,"NEIN, Anrufe blockiert",frisch gemäht
MP2-BE-GR-9,1002,BE,Grindelwald,46.61900409,8.023524247,0,MB,06.06.23,MP2,NEIN,frisch gemäht
MP3-BE-GR-27,940,BE,Grindelwald,46.623076,8.018867848,0,MB,08.06.23,MP3,"NEIN, nicht geantwortet",frisch gemäht
MP3-BE-GR-31,990,BE,Grindelwald,46.61992897,8.018572982,0,MB,08.06.23,MP3,"NEIN, nicht geantwortet",frisch gemäht
P1-BE-GR-48,910,BE,Grindelwald,46.63705187,7.97552775,0,MBMS,05.06.23,P1,,frisch gemäht
MP1-GL-MA-3,1123,GL,Matt,46.94442293,9.162016528,,,,MP1,,
MP1-GL-MA-4,1298,GL,Matt,46.9650538,9.182439143,,,,MP1,,
MP1-GL-MA-5,1355,GL,Matt,46.96652713,9.187697888,,,,MP1,,
MP1-GL-MA-6,1471,GL,Matt,46.97375417,9.176819627,,,,MP1,,
MP1-GR-FL-1,1382,GR,Flerden,46.70817799,9.397240551,,,,MP1,,
MP1-GR-FL-2,1400,GR,Flerden,46.70580465,9.396375083,,,,MP1,,
MP1-GR-FL-3,1425,GR,Flerden,46.70672636,9.395100459,,,,MP1,,
MP1-GR-FL-4,1756,GR,Flerden,46.70902279,9.376019766,,,,MP1,,
MP1-GR-LA-1,1687,GR,La Punt-Chamues-ch,46.57053743,9.918656162,,,,MP1,,
MP1-GR-LA-2,1690,GR,La Punt-Chamues-ch,46.57848949,9.931611126,,,,MP1,,
MP1-GR-LA-3,1690,GR,La Punt-Chamues-ch,46.57921479,9.933411759,,,,MP1,,
MP1-GR-LA-4,1690,GR,La Punt-Chamues-ch,46.57666098,9.922486272,,,,MP1,,
MP1-GR-LA-5,1699,GR,La Punt-Chamues-ch,46.57318266,9.930402671,,,,MP1,,
MP1-GR-LA-6,1710,GR,La Punt-Chamues-ch,46.57494576,9.916610486,,,,MP1,,
MP1-GR-LA-7,1712,GR,La Punt-Chamues-ch,46.56165992,9.91302989,,,,MP1,,
MP1-GR-LA-8,1744,GR,La Punt-Chamues-ch,46.56073243,9.914292245,,,,MP1,,
MP1-GR-LA-9,1757,GR,La Punt-Chamues-ch,46.57380295,9.938624801,,,,MP1,,
MP1-GR-MU-1,1501,GR,Mutten,46.67227423,9.511505239,,,,MP1,,
MP1-GR-PE-1,1473,GR,Peist,46.83363284,9.686870103,,,,MP1,,
MP1-GR-PE-2,1518,GR,Peist,46.83535377,9.690875976,,,,MP1,,
MP1-GR-PE-3,1594,GR,Peist,46.84024071,9.668916985,,,,MP1,,
MP1-GR-PE-4,1614,GR,Peist,46.84148543,9.667137155,,,,MP1,,
MP1-GR-PE-5,1816,GR,Peist,46.84527039,9.689979481,,,,MP1,,
MP1-GR-PR-1,1181,GR,Praez,46.77205042,9.406591518,,,,MP1,,
MP1-GR-RH-2,1302,GR,Rhaezuens,46.77148954,9.393446292,,,,MP1,,
MP1-GR-RH-3,1341,GR,Rhaezuens,46.7752045,9.387840218,,,,MP1,,
MP1-GR-RH-4,1395,GR,Rhaezuens,46.77971609,9.38382916,,,,MP1,,
MP1-GR-RU-1,1100,GR,Rueun,46.78897056,9.152906586,,,,MP1,,
MP1-GR-SI-1,1571,GR,Siat,46.80149131,9.153512472,,,,MP1,,
MP1-GR-SP-1,1500,GR,Spluegen,46.54651207,9.318230289,,,,MP1,,
MP1-GR-SP-2,1532,GR,Spluegen,46.55576894,9.323798629,,,,MP1,,
MP1-GR-SP-3,1579,GR,Spluegen,46.54714628,9.326848774,,,,MP1,,
MP1-GR-TI-1,1136,GR,Tiefencastel,46.66805431,9.545330153,,,,MP1,JA,
MP1-GR-TI-2,1202,GR,Tiefencastel,46.66717922,9.543988831,,,,MP1,JA,
MP1-GR-TI-3,1542,GR,Tiefencastel,46.66661648,9.525666678,,,,MP1,,
MP1-GR-TS-1,1709,GR,Tschappina,46.70074402,9.376572666,,,,MP1,,
MP1-GR-TS-2,1767,GR,Tschappina,46.70081061,9.372651307,,,,MP1,,
MP1-GR-UR-1,1500,GR,Urmein,46.70229724,9.391015979,,,,MP1,,
MP2-BE-GR-12,1160,BE,Grindelwald,46.61168827,8.029188922,,,,MP2,,
MP2-BE-GR-15,1290,BE,Grindelwald,46.63501717,8.073846405,,,,MP2,,
