"ID","Date"
"MP1-BE-BE-1",2023-05-30
"MP1-BE-BE-2",2023-05-31
"MP1-BE-BE-3",2023-05-30
"MP1-BE-BE-4",2023-05-31
"MP1-BE-BE-5",2023-05-31
"MP1-BE-BE-6",2023-05-30
"MP1-GL-MA-1",2023-05-24
"MP1-GL-MA-3",2023-07-06
"MP1-GL-MA-4",2023-06-26
"MP1-GL-MA-5",2023-06-26
"MP1-GL-MA-6",2023-07-06
"MP1-GR-FL-1",2023-07-04
"MP1-GR-FL-2",2023-07-04
"MP1-GR-FL-3",2023-06-15
"MP1-GR-FL-4",2023-07-04
"MP1-GR-LA-1",2023-07-08
"MP1-GR-LA-2",2023-07-08
"MP1-GR-LA-3",2023-07-11
"MP1-GR-LA-4",2023-07-10
"MP1-GR-LA-5",2023-07-08
"MP1-GR-LA-6",2023-07-10
"MP1-GR-LA-8",2023-07-10
"MP1-GR-LA-9",2023-07-11
"MP1-GR-MU-1",2023-06-13
"MP1-GR-PE-1",2023-07-01
"MP1-GR-PE-2",2023-07-03
"MP1-GR-PE-3",2023-07-03
"MP1-GR-PE-4",2023-07-01
"MP1-GR-PE-5",2023-07-03
"MP1-GR-PR-1",2023-06-29
"MP1-GR-RH-2",2023-06-13
"MP1-GR-RH-3",2023-06-29
"MP1-GR-RH-4",2023-06-29
"MP1-GR-SI-1",2023-06-14
"MP1-GR-SP-1",2023-06-30
"MP1-GR-SP-2",2023-06-30
"MP1-GR-SP-3",2023-06-30
"MP1-GR-TI-3",2023-06-13
"MP1-GR-TS-1",2023-06-15
"MP1-GR-UR-1",2023-06-15
"MP1-LU-GR-3",2023-05-26
"MP1-LU-GR-4",2023-05-25
"MP1-LU-WE-1",2023-05-25
"MP2-BE-GR-11",2023-06-06
"MP2-BE-GR-14",2023-06-06
"MP2-BE-GR-2",2023-06-06
"MP2-BE-GR-20",2023-06-06
"MP2-BE-GR-24",2023-06-07
"MP2-BE-GR-5",2023-06-07
"MP2-BE-GR-6",2023-06-08
"MP2-BE-GR-8",2023-06-07
"MP3-BE-GR-28",2023-06-08
"MP4-GL-MA-7",2023-06-26
"MP4-GR-BO-4",2023-07-05
"MP4-GR-FL-7",2023-07-04
"MP4-GR-LA-10",2023-07-11
"MP4-GR-LA-11",2023-07-11
"MP4-GR-LA-12",2023-07-11
"MP4-GR-LA-13",2023-07-12
"MP4-GR-RH-5",2023-06-29
"MP4-GR-RH-6",2023-07-05
"MP4-GR-SP-5",2023-07-05
"P1-BE-GR-49",2023-06-05
"P1-BE-GR-50",2023-06-06
"P1-GR-TU-4",2023-06-14
"P1-GR-TU-8",2023-06-14
